symbol,mcap_mm,is_auto,desc
CE,10927,False,Celanese Corporation
J,10920,False,Jacobs Engineering Group Inc.
CFG,10918,False,Citizens Financial Group Inc.
RCL,10907,False,Royal Caribbean Cruises Ltd.
BKR,10744,False,Baker Hughes Company
DVA,10636,False,DaVita Inc.
HAS,10630,False,Hasbro Inc.
CXO,10515,False,Concho Resources Inc.
RF,10479,False,Regions Financial Corporation
UDR,10465,False,UDR Inc.
EMN,10414,False,Eastman Chemical Company
L,10376,False,Loews Corporation
LYV,10315,False,Live Nation Entertainment Inc.
AES,10239,False,The AES Corporation
DRI,10214,False,Darden Restaurants Inc.
BEN,10203,False,Franklin Resources Inc.
AAP,10176,False,Advance Auto Parts Inc.
AVY,10034,False,Avery Dennison Corporation
CNP,9922,False,CenterPoint Energy Inc.
LW,9899,False,Lamb Weston Holdings Inc.
RJF,9882,False,Raymond James Financial Inc.
WHR,9839,False,Whirlpool Corporation
CBOE,9815,False,Cboe Global Markets Inc.
FBHS,9794,False,Fortune Brands Home & Security Inc.
HBAN,9766,False,Huntington Bancshares Incorporated
PKG,9748,False,Packaging Corporation of America
NTAP,9582,False,NetApp Inc.
HSIC,9568,False,Henry Schein Inc.
UAL,9549,False,United Airlines Holdings Inc.
DISH,9531,False,DISH Network Corporation
XRAY,9473,False,DENTSPLY SIRONA Inc.
NI,9393,False,NiSource Inc.
ALLE,9317,False,Allegion plc
IPGP,9295,False,IPG Photonics Corporation
FFIV,9277,False,F5 Networks Inc.
ALB,9254,False,Albemarle Corporation
WU,9233,False,The Western Union Company
PNW,9154,False,Pinnacle West Capital Corporation
FOXA,9134,False,Fox Corporation
RE,8957,False,Everest Re Group Ltd.
CCL,8863,False,Carnival Corporation & Plc
GL,8554,False,Globe Life Inc.
LKQ,8498,False,LKQ Corporation
UHS,8394,False,Universal Health Services Inc.
NRG,8345,False,NRG Energy Inc.
MYL,8250,False,Mylan Inc.
JNPR,8111,False,Juniper Networks Inc.
BWA,7952,False,BorgWarner Inc.
WYNN,7918,False,Wynn Resorts Limited
